x,16QAM Mean,std,"N: 0.01, P: $2^9$",std,"N: 0.04, P: $2^9$",std,"N: 0.09, P: $2^9$",std,"N: 0.16, P: $2^9$",std
0,0.14103815,0,0.19393562,0.002958434,0.214390563,0.002933574,0.244362705,0.015401168,0.265601038,0.024522298
0.41025641,0.1319662,0,0.183633715,0.002855436,0.206981793,0.003274543,0.23997722,0.016724212,0.262601153,0.024873743
0.820512821,0.123000125,0,0.173091395,0.002966287,0.199556128,0.003660876,0.235886318,0.018267504,0.259791198,0.025310918
1.230769231,0.114122775,0,0.162643485,0.003111652,0.193013775,0.003827372,0.232453038,0.019817732,0.257407718,0.025212671
1.641025641,0.10536495,0,0.151962698,0.0031753,0.18621527,0.003978599,0.229398823,0.021062472,0.25521216,0.025467988
2.051282051,0.096767625,0,0.14125479,0.003267847,0.179900158,0.004192886,0.22698517,0.022615415,0.25308353,0.025432626
2.461538462,0.08831115,0,0.130630123,0.003347331,0.173537035,0.004294606,0.223601358,0.024239388,0.250873378,0.024966652
2.871794872,0.0800463,0,0.12017539,0.003481288,0.16771387,0.004613318,0.221106285,0.02561163,0.249290418,0.024782676
3.282051282,0.072020525,0,0.109789288,0.003641478,0.162531755,0.004640486,0.219066865,0.026518604,0.247368015,0.024574834
3.692307692,0.064289175,0,0.099630318,0.003720631,0.15731121,0.004783604,0.217013128,0.027836506,0.24564378,0.02450075
4.102564103,0.0568187,0,0.089740415,0.003912303,0.152745018,0.00493672,0.214863485,0.028540551,0.244461333,0.024030093
4.512820513,0.049848325,0,0.08039739,0.004059798,0.148979023,0.004651592,0.213839683,0.029491204,0.243611198,0.023744431
4.923076923,0.043104675,0,0.071256653,0.004079727,0.144497563,0.005168965,0.212028768,0.029999417,0.241599843,0.023343271
5.333333333,0.036931,0,0.062721268,0.004222357,0.141006833,0.005148538,0.21065888,0.030479911,0.240807748,0.02258605
5.743589744,0.03127405,0,0.054738015,0.004249599,0.137657118,0.005564336,0.208881225,0.030961227,0.239156093,0.022799519
6.153846154,0.026044525,0,0.047296953,0.004282795,0.13473206,0.005555121,0.207468123,0.031245053,0.238067773,0.022394015
6.564102564,0.021372,0,0.040413,0.004257995,0.13207221,0.005629041,0.20608763,0.031268684,0.237040718,0.022063605
6.974358974,0.01722825,0,0.034202233,0.004209379,0.129591995,0.005845628,0.204894168,0.031232117,0.23577761,0.021719341
7.384615385,0.013662475,0,0.028652945,0.004099576,0.127311995,0.005831039,0.203513515,0.031531793,0.23421951,0.021582495
7.794871795,0.010592575,0,0.023650743,0.003927007,0.125320058,0.006050714,0.202086963,0.031483478,0.23291645,0.021528957
8.205128205,0.008051275,0,0.019346673,0.003737766,0.12329097,0.006224414,0.20067889,0.031458008,0.231656285,0.021187945
8.615384615,0.0059549,0,0.015606338,0.003500196,0.121388225,0.006195471,0.199624245,0.03124118,0.23044711,0.021046024
9.025641026,0.004324725,0,0.012422668,0.00320831,0.119762273,0.006380355,0.198073523,0.031271173,0.228985928,0.021266265
9.435897436,0.0030122,0,0.009723538,0.00290375,0.118208798,0.006597353,0.196769195,0.03099112,0.22757195,0.021220769
9.846153846,0.0020561,0,0.007550343,0.002590541,0.116932925,0.006840296,0.195054353,0.030895696,0.226365725,0.02075036
10.25641026,0.001347575,0,0.005741225,0.002278291,0.115063978,0.006870793,0.19313769,0.030925714,0.22396665,0.021462978
10.66666667,0.0008458,0,0.004298713,0.001952715,0.113888988,0.006850986,0.191795663,0.030537952,0.22287669,0.021109623
11.07692308,0.000505525,0,0.003168915,0.001664004,0.112302153,0.007066937,0.189858768,0.030776223,0.220870035,0.021186414
11.48717949,0.0002978,0,0.002303595,0.001375735,0.110999718,0.007049884,0.18830503,0.030713014,0.219483898,0.021258969
11.8974359,0.00016,0,0.001639583,0.001123672,0.109820475,0.007211029,0.18646691,0.030815919,0.2177603,0.021208211
12.30769231,8.27E-05,0,0.00115141,0.000899885,0.108440743,0.007467282,0.184670705,0.030741712,0.21599462,0.021107924
12.71794872,4.12E-05,0,0.000792798,0.000704958,0.107011305,0.007609571,0.18244734,0.030618431,0.214038398,0.021034163
13.12820513,1.79E-05,0,0.00053525,0.000537137,0.105765223,0.007762122,0.180702595,0.030683991,0.2122377,0.020705794
13.53846154,7.63E-06,0,0.000356215,0.000404948,0.104411413,0.00801383,0.178492245,0.030864906,0.2101573,0.021128692
13.94871795,3.00E-06,0,0.000232848,0.000296202,0.103168685,0.008122018,0.176394725,0.030821212,0.20777111,0.020752808
14.35897436,1.53E-06,0,0.000148505,0.000208853,0.101827373,0.008369267,0.174014383,0.030858399,0.20564121,0.020248751
14.76923077,3.25E-07,0,0.000095865,0.000147813,0.10046352,0.008392295,0.171880563,0.030843458,0.203347455,0.020170705
15.17948718,1.00E-07,0,0.00005713,9.67E-05,0.0990579,0.008868648,0.169690168,0.031144595,0.200822363,0.019914956
15.58974359,2.50E-08,0,0.000035,6.31E-05,0.097694308,0.008860285,0.16748877,0.031365384,0.198368368,0.019452026
16,0,0,0.00002081,4.03E-05,0.096276605,0.009080363,0.165136483,0.031297578,0.195752758,0.019067479
